Región,sembrada,d-m-y,cosechada,produccion,rendimiento,precio
Arequipa,1594,1/5/2021,1404,86858.55200000001,61865.06552706553,0.14856744653076884
Ayacucho,0,1/5/2021,0,0,0,0
Cajamarca,0,1/5/2021,13,89.5,6884.615384615385,0.8893854748603353
Callao,0,1/5/2021,0,0,0,0
Cusco,0,1/5/2021,0,0,0,0
Huancavelica,0,1/5/2021,0,0,0,0
Huánuco,28.5,1/5/2021,54,1175,21759.25925925926,0.20444255319148935
Ica,0,1/5/2021,0,0,0,0
Junín,0,1/5/2021,0,0,0,0
La Libertad,301,1/5/2021,253.5,13559,53487.17948717949,0.18156427465152297
Lambayeque,104,1/5/2021,176,6055,34403.409090909096,0.18981172584640793
Lima,922,1/5/2021,1247,57076.7,45771.21090617481,0.15239101069262942
Lima Metropolitana,89,1/5/2021,120,3905.1499999999996,32542.916666666664,0.11339039473515744
Loreto,0,1/5/2021,0,0,0,0
Moquegua,7,1/5/2021,8,479.16,59895,0.05
Pasco,0,1/5/2021,0,0,0,0
Piura,0,1/5/2021,0,0,0,0
Puno,0,1/5/2021,0,0,0,0
San Martín,0,1/5/2021,0,0,0,0
Tacna,190,1/5/2021,232,9946,42870.68965517241,0.3747436155238287
Tumbes,0,1/5/2021,0,0,0,0
Ucayali,0,1/5/2021,0,0,0,0
Nacional,3456.5,1/5/2020,3153,152103.959,48241.027275610526,0.16733335251319786
Amazonas,0,1/5/2020,0,0,0,0
Áncash,152,1/5/2020,84,1751,20845.238095238095,0.3752998286693318
Apurímac,0,1/5/2020,0,0,0,0
Arequipa,1723,1/5/2020,1276,76850.72,60227.83699059561,0.1515549600576286
Ayacucho,0,1/5/2020,0,0,0,0
