Región,meses,cosecha,year,produccion,rendimiento
Amazonas,Jul,9.365041037099308,2021,,
Áncash,Jul,0.0,2021,,
Apurímac,Jul,0.0,2021,,
Arequipa,Jul,0.0,2021,,
Ayacucho,Jul,7.746951219512195,2021,,
Cajamarca,Jul,10.92579022129462,2021,,
Callao,Jul,0.0,2021,,
Cusco,Jul,10.672500780068646,2021,,
Huancavelica,Jul,0.0,2021,,
Huánuco,Jul,8.69610535794687,2021,,
Ica,Jul,0.0,2021,,
Junín,Jul,10.99109226085629,2021,,
La Libertad,Jul,4.499999999999999,2021,,
Lambayeque,Jul,11.628032345013477,2021,,
Lima,Jul,0.0,2021,,
Lima Metropolitana,Jul,0.0,2021,,
Loreto,Jul,2.8425,2021,,
cafere de Dios,Jul,0.0,2021,,
Moquegua,Jul,0.0,2021,,
Pasco,Jul,10.297517952571813,2021,,
Piura,Jul,6.303739837398375,2021,,
Puno,Jul,7.454635463546355,2021,,
San Martín,Jul,8.783969876277567,2021,,
Tacna,Jul,0.0,2021,,
Tumbes,Jul,0.0,2021,,
Ucayali,Jul,7.603525909281046,2021,,
Amazonas,Ago,12.360965683668045,2021,,
Áncash,Ago,0.0,2021,,
Apurímac,Ago,0.0,2021,,
Arequipa,Ago,0.0,2021,,
Ayacucho,Ago,10.27135231316726,2021,,
Cajamarca,Ago,11.073436975858296,2021,,
Callao,Ago,0.0,2021,,
Cusco,Ago,10.641397782484116,2021,,
Huancavelica,Ago,0.0,2021,,
Huánuco,Ago,8.936096585665949,2021,,
Ica,Ago,0.0,2021,,
Junín,Ago,11.984713653120386,2021,,
La Libertad,Ago,4.499999999999999,2021,,
Lambayeque,Ago,10.990196078431373,2021,,
Lima,Ago,0.0,2021,,
Lima Metropolitana,Ago,0.0,2021,,
Loreto,Ago,2.7868707482993194,2021,,
cafere de Dios,Ago,0.0,2021,,
Moquegua,Ago,0.0,2021,,
Pasco,Ago,10.083329490431174,2021,,
Piura,Ago,9.599573863636364,2021,,
Puno,Ago,7.5081584531950005,2021,,
San Martín,Ago,9.02966978807294,2021,,
Tacna,Ago,0.0,2021,,
Tumbes,Ago,0.0,2021,,
Ucayali,Ago,7.528901671721042,2021,,
Amazonas,Set,12.802249088807892,2021,,
Áncash,Set,0.0,2021,,
Apurímac,Set,0.0,2021,,
Arequipa,Set,0.0,2021,,
Ayacucho,Set,9.740806916426513,2021,,
Cajamarca,Set,11.244224954805915,2021,,
Callao,Set,0.0,2021,,
Cusco,Set,10.4,2021,,
Huancavelica,Set,0.0,2021,,
Huánuco,Set,8.953072206232008,2021,,
Ica,Set,0.0,2021,,
Junín,Set,11.5,2021,,
La Libertad,Set,0.0,2021,,
Lambayeque,Set,7.5,2021,,
Lima,Set,0.0,2021,,
Lima Metropolitana,Set,0.0,2021,,
Loreto,Set,2.7795959595959596,2021,,
cafere de Dios,Set,0.0,2021,,
Moquegua,Set,0.0,2021,,
Pasco,Set,0.0,2021,,
Piura,Set,10.0,2021,,
Puno,Set,0.0,2021,,
San Martín,Set,9.843518197573655,2021,,
Tacna,Set,0.0,2021,,
Tumbes,Set,0.0,2021,,
Ucayali,Set,7.299999999999999,2021,,
Amazonas,Oct,10.97988483079593,2021,,
Áncash,Oct,0.0,2021,,
Apurímac,Oct,0.0,2021,,
Arequipa,Oct,0.0,2021,,
Ayacucho,Oct,10.661904761904761,2021,,
Cajamarca,Oct,12.415223050605325,2021,,
Callao,Oct,0.0,2021,,
Cusco,Oct,0.0,2021,,
Huancavelica,Oct,0.0,2021,,
Huánuco,Oct,8.93821138211382,2021,,
Ica,Oct,0.0,2021,,
Junín,Oct,0.0,2021,,
La Libertad,Oct,0.0,2021,,
Lambayeque,Oct,12.0,2021,,
Lima,Oct,0.0,2021,,
Lima Metropolitana,Oct,0.0,2021,,
Loreto,Oct,2.617763157894737,2021,,
cafere de Dios,Oct,0.0,2021,,
Moquegua,Oct,0.0,2021,,
Pasco,Oct,0.0,2021,,
Piura,Oct,0.0,2021,,
Puno,Oct,0.0,2021,,
San Martín,Oct,8.44821277793414,2021,,
Tacna,Oct,0.0,2021,,
Tumbes,Oct,0.0,2021,,
Ucayali,Oct,0.0,2021,,
Amazonas,Nov,11.667820069204152,2021,,
Áncash,Nov,0.0,2021,,
Apurímac,Nov,0.0,2021,,
Arequipa,Nov,0.0,2021,,
Ayacucho,Nov,0.0,2021,,
Cajamarca,Nov,13.0,2021,,
Callao,Nov,0.0,2021,,
Cusco,Nov,0.0,2021,,
Huancavelica,Nov,0.0,2021,,
Huánuco,Nov,8.715140845070422,2021,,
Ica,Nov,0.0,2021,,
Junín,Nov,0.0,2021,,
La Libertad,Nov,0.0,2021,,
Lambayeque,Nov,11.0,2021,,
Lima,Nov,0.0,2021,,
Lima Metropolitana,Nov,0.0,2021,,
Loreto,Nov,2.689999999999999,2021,,
cafere de Dios,Nov,0.0,2021,,
Moquegua,Nov,0.0,2021,,
Pasco,Nov,0.0,2021,,
Piura,Nov,0.0,2021,,
Puno,Nov,0.0,2021,,
San Martín,Nov,8.593194706994328,2021,,
Tacna,Nov,0.0,2021,,
Tumbes,Nov,0.0,2021,,
Ucayali,Nov,0.0,2021,,
Amazonas,Dic,8.343260188087774,2021,,
Áncash,Dic,0.0,2021,,
Apurímac,Dic,0.0,2021,,
Arequipa,Dic,0.0,2021,,
Ayacucho,Dic,11.0,2021,,
Cajamarca,Dic,0.0,2021,,
Callao,Dic,0.0,2021,,
Cusco,Dic,0.0,2021,,
Huancavelica,Dic,0.0,2021,,
Huánuco,Dic,8.03046875,2021,,
Ica,Dic,0.0,2021,,
Junín,Dic,0.0,2021,,
La Libertad,Dic,0.0,2021,,
Lambayeque,Dic,10.500000000000002,2021,,
Lima,Dic,0.0,2021,,
Lima Metropolitana,Dic,0.0,2021,,
Loreto,Dic,2.787184466019418,2021,,
cafere de Dios,Dic,0.0,2021,,
Moquegua,Dic,0.0,2021,,
Pasco,Dic,0.0,2021,,
Piura,Dic,0.0,2021,,
Puno,Dic,0.0,2021,,
San Martín,Dic,8.418744098205854,2021,,
Tacna,Dic,0.0,2021,,
Tumbes,Dic,0.0,2021,,
Ucayali,Dic,0.0,2021,,
Amazonas,Ene,0.0,2020,,
Áncash,Ene,0.0,2020,,
Apurímac,Ene,0.0,2020,,
Arequipa,Ene,0.0,2020,,
Ayacucho,Ene,0.0,2020,,
Cajamarca,Ene,0.0,2020,,
Callao,Ene,0.0,2020,,
Cusco,Ene,0.0,2020,,
Huancavelica,Ene,0.0,2020,,
Huánuco,Ene,5.329324324324325,2020,,
Ica,Ene,0.0,2020,,
Junín,Ene,0.0,2020,,
La Libertad,Ene,0.0,2020,,
Lambayeque,Ene,0.0,2020,,
Lima,Ene,0.0,2020,,
Lima Metropolitana,Ene,0.0,2020,,
Loreto,Ene,0.0,2020,,
cafere de Dios,Ene,0.0,2020,,
Moquegua,Ene,0.0,2020,,
Pasco,Ene,0.0,2020,,
Piura,Ene,0.0,2020,,
Puno,Ene,0.0,2020,,
San Martín,Ene,4.222063037249283,2020,,
Tacna,Ene,0.0,2020,,
Tumbes,Ene,0.0,2020,,
Ucayali,Ene,0.0,2020,,
Amazonas,Feb,0.0,2020,,
Áncash,Feb,0.0,2020,,
Apurímac,Feb,0.0,2020,,
Arequipa,Feb,0.0,2020,,
Ayacucho,Feb,0.0,2020,,
Cajamarca,Feb,0.0,2020,,
Callao,Feb,0.0,2020,,
Cusco,Feb,0.0,2020,,
Huancavelica,Feb,0.0,2020,,
Huánuco,Feb,5.361088180112571,2020,,
Ica,Feb,0.0,2020,,
Junín,Feb,5.319515489952791,2020,,
La Libertad,Feb,0.0,2020,,
Lambayeque,Feb,0.0,2020,,
Lima,Feb,0.0,2020,,
Lima Metropolitana,Feb,0.0,2020,,
Loreto,Feb,0.0,2020,,
cafere de Dios,Feb,0.0,2020,,
Moquegua,Feb,0.0,2020,,
