Región,meses,cosecha,produccion,rendimiento,precio,year
Puno,Feb,853.0,14671.0,17199.296600234466,2.1273607797696132,2022
San Martín,Feb,0.0,0.0,0.0,0.0,2022
Tacna,Feb,74.0,1471.0,19878.37837837838,1.8666213460231136,2022
Tumbes,Feb,0.0,0.0,0.0,0.0,2022
Ucayali,Feb,0.0,0.0,0.0,0.0,2022
Amazonas,Mar,332.0,5895.95,17758.885542168675,1.4869164426428314,2022
Áncash,Mar,2374.0,30377.3,12795.829823083404,1.2856389475035634,2022
Apurímac,Mar,1419.0,28975.75,20419.837914023963,1.086589648240339,2022
Arequipa,Mar,343.0,11273.824999999995,32868.29446064139,1.293205921681417,2022
Ayacucho,Mar,2986.0,54403.0,18219.356999330208,0.9745572854438175,2022
Cajamarca,Mar,3856.0,53717.609000000004,13930.915197095437,1.6492682743939704,2022
Callao,Mar,0.0,0.0,0.0,0.0,2022
Cusco,Mar,3116.0,49246.380000000005,15804.358151476252,1.0967362068034239,2022
Huancavelica,Mar,1668.0,25085.499999999996,15039.268585131893,1.0421964880110022,2022
Huánuco,Mar,4987.0,71410.0,14319.229997994787,0.9906713345469824,2022
Ica,Mar,21.0,197.53,9406.190476190475,1.0,2022
Junín,Mar,2411.0,46067.400000000016,19107.17544587309,1.0003111527891735,2022
La Libertad,Mar,3783.5,80086.09999999999,21167.199682833354,1.3743872282456002,2022
Lambayeque,Mar,20.0,100.0,5000.0,0.82,2022
Lima,Mar,212.0,2835.8,13376.415094339623,1.0693102475491925,2022
Lima Metropolitana,Mar,0.0,0.0,0.0,0.0,2022
Loreto,Mar,0.0,0.0,0.0,0.0,2022
papare de Dios,Mar,0.0,0.0,0.0,0.0,2022
Moquegua,Mar,183.0,2239.217,12236.158469945356,1.9586107107975688,2022
Pasco,Mar,910.5,16822.107,18475.68039538715,0.8858058654602542,2022
Piura,Mar,113.0,1348.0,11929.20353982301,1.0163204747774481,2022
Puno,Mar,5437.0,86336.7,15879.473974618355,1.82487540061179,2022
San Martín,Mar,0.0,0.0,0.0,0.0,2022
Tacna,Mar,149.0,3112.0,20885.906040268455,1.9875,2022
Tumbes,Mar,0.0,0.0,0.0,0.0,2022
Ucayali,Mar,0.0,0.0,0.0,0.0,2022
Amazonas,Abr,277.0,5134.500000000001,18536.101083032496,1.6103982861038073,2022
Áncash,Abr,2424.0,30752.0,12686.468646864685,1.2315114464099894,2022
Apurímac,Abr,2547.0,51142.0,20079.308990969766,1.0226438152594735,2022
Arequipa,Abr,495.0,16102.408999999998,32530.11919191919,1.0783740805490658,2022
Ayacucho,Abr,5471.0,97825.0,17880.643392432827,1.0857892154357272,2022
Cajamarca,Abr,4145.5,59190.538,14278.262694488,1.5918797713918391,2022
Callao,Abr,0.0,0.0,0.0,0.0,2022
Cusco,Abr,6466.0,95730.0,14805.134549953604,1.1486358508304608,2022
Huancavelica,Abr,4222.0,65660.85,15552.072477498816,0.9867714170620694,2022
Huánuco,Abr,7174.5,92082.5,12834.692313053174,0.9898392419840903,2022
Ica,Abr,9.0,87.4,9711.111111111111,1.0,2022
Junín,Abr,3619.0,66040.8,18248.35589941973,0.9339520871945826,2022
La Libertad,Abr,5162.0,115626.70000000001,22399.593180937623,1.4179481382760208,2022
Lambayeque,Abr,45.0,225.0,5000.0,1.1888888888888889,2022
Lima,Abr,201.0,1782.3299999999997,8867.31343283582,1.2163033781622936,2022
Lima Metropolitana,Abr,0.0,0.0,0.0,0.0,2022
Loreto,Abr,0.0,0.0,0.0,0.0,2022
papare de Dios,Abr,0.0,0.0,0.0,0.0,2022
Moquegua,Abr,232.0,2443.3699999999994,10531.767241379308,1.7075981124430606,2022
Pasco,Abr,1026.0,16314.200000000003,15900.77972709552,0.9530573181645438,2022
Piura,Abr,118.0,1351.0,11449.15254237288,0.9890155440414506,2022
Puno,Abr,29723.0,482344.4,16227.985062073141,1.6543777641038229,2022
San Martín,Abr,0.0,0.0,0.0,0.0,2022
Tacna,Abr,126.0,2550.0,20238.095238095237,1.9170196078431372,2022
Tumbes,Abr,0.0,0.0,0.0,0.0,2022
Ucayali,Abr,0.0,0.0,0.0,0.0,2022
Amazonas,May,321.0,5942.8,18513.395638629285,1.6410547216800162,2022
Áncash,May,1492.0,18777.0,12585.120643431635,1.361114661554029,2022
Apurímac,May,7527.0,129651.8,17224.89703733227,1.2009123668163497,2022
Arequipa,May,361.0,13631.421,37760.16897506925,1.1840770782444472,2022
Ayacucho,May,13127.0,236051.0,17982.097966024223,1.0961058415342437,2022
Cajamarca,May,2862.0,45761.878,15989.475192173304,1.6653573177219696,2022
Callao,May,0.0,0.0,0.0,0.0,2022
Cusco,May,15840.0,246002.40699999998,15530.454987373736,1.2982702026976505,2022
Huancavelica,May,7405.0,100040.55,13509.864956110736,0.9363013548006278,2022
Huánuco,May,4473.0,60710.0,13572.546389447798,1.0424943996046778,2022
Ica,May,8.0,77.2,9650.0,1.0,2022
Junín,May,6204.0,108672.44999999998,17516.513539651834,0.918441541531456,2022
